9;7;35
28;7;179
34;7;253
37;7;1768
39;7;511
52;7;123
57;7;2057
60;7;2958
1042;7;357
1113;7;144
1307;7;97
1313;7;31
1318;7;77
1374;7;426
1382;7;932
9;39;8
9;40;27
9;44;2402342912
28;39;20
28;12;1391
28;40;3
28;18;1
28;13;30
28;11;24
28;15;1
28;14;15
28;44;1552453376
34;39;42
34;12;1405
34;40;91
34;18;8
34;13;41
34;11;32
34;15;1
34;14;57
34;16;7
34;44;1660609408
37;39;121
37;12;74822
37;40;33
37;18;1
37;13;1403
37;11;124
37;15;1
37;14;58
37;44;2019235968
39;39;45
39;12;3497
39;40;201
39;18;7
39;13;85
39;11;44
39;14;179
39;16;7
39;44;2042918528
52;39;19
52;12;1346
52;40;19
52;18;1
52;13;51
52;11;39
52;14;65
52;16;1
52;44;354941984
57;39;259
57;12;3741
57;40;333
57;18;3
57;13;102
57;11;76
57;14;277
57;16;3
57;44;80369488
60;39;499
60;12;45511
60;40;105
60;18;2
60;13;1040
60;11;459
60;15;1
60;14;1332
60;16;1
60;44;3183158016
1042;39;66
1042;12;1518
1042;40;14
1042;13;88
1042;11;25
1042;14;139
1042;44;970292352
1113;39;36
1113;12;365
1113;40;43
1113;13;18
1113;11;5
1113;14;31
1113;44;209936336
1307;39;25
1307;12;604
1307;40;36
1307;18;1
1307;13;25
1307;11;13
1307;14;9
1307;16;1
1307;44;1150399488
1313;39;7
1313;12;337
1313;40;5
1313;18;1
1313;13;14
1313;11;2
1313;14;1
1313;16;1
1313;44;1732733824
1318;39;16
1318;12;422
1318;40;25
1318;18;1
1318;13;18
1318;11;6
1318;14;10
1318;16;1
1318;44;423660928
1374;39;45
1374;12;636
1374;40;104
1374;18;1
1374;13;27
1374;11;15
1374;14;13
1374;16;1
1374;44;4008329216
1382;39;171
1382;12;3706
1382;40;2
1382;18;2
1382;13;118
1382;11;80
1382;14;1
1382;16;2
1382;44;1049414272
39;47;0.000001
39;34;0.062973
1113;47;0.000001
1113;34;0.062973
57;47;0.000001
57;8;3
57;34;0.062973
1500;84;5
1500;65;5
1500;68;2
1500;72;2
1500;81;8
1505;84;6
1505;65;6
1505;68;4
1505;72;4
1505;78;4
1505;79;1
1505;81;16
1511;84;20
1511;65;20
1511;68;10
1511;72;10
1511;78;4
1511;79;1
1511;81;184
1307;47;0.000001
1307;34;0.062973
1318;47;0.000001
1318;34;0.062973
37;47;0.000001
37;8;3
37;34;0.062973
1547;84;16
1547;65;20
1547;68;7
1547;72;7
1547;78;3
1547;79;1
1547;81;56
1564;84;15
1564;65;16
1564;68;13
1564;72;13
1564;78;3
1564;79;1
1564;81;52
1612;84;5
1612;65;5
1612;68;3
1612;72;3
1612;78;1
1612;79;1
1612;81;16
1374;47;0.000001
1374;19;2
1374;20;2
1374;23;1
1374;25;13
1374;26;10
1374;27;4
1374;28;2
1374;31;14
1374;33;2
1374;34;0.073085
1374;38;35.604511
1677;162;5
1677;129;7
1677;130;6
1677;131;4
1677;132;4
1677;133;4
1677;137;2
1677;138;1
1677;139;1
1677;140;2
1677;142;1
1677;146;1
1677;134;1
1677;135;2
1677;164;2
1677;165;2
1677;166;2
1677;151;1
1677;155;8
1677;156;8
1677;163;8
1743;162;5
1743;129;7
1743;130;7
1743;131;4
1743;132;6
1743;133;5
1743;137;2
1743;138;1
1743;139;1
1743;140;2
1743;142;1
1743;146;1
1743;134;1
1743;135;2
1743;164;2
1743;165;2
1743;166;2
1743;151;1
1743;155;8
1743;156;8
1743;163;8
1382;47;0.000001
1382;8;8
1382;34;0.062973
1797;84;4
1797;65;4
1797;68;2
1797;72;2
1797;81;8
1801;84;4
1801;65;4
1801;68;2
1801;72;2
1801;81;8
1805;84;4
1805;65;4
1805;68;2
1805;72;2
1805;81;16
1808;84;3
1808;65;3
1808;68;1
1808;72;1
1808;78;1
1808;79;1
1808;81;10
1810;84;3
1810;65;3
1810;68;1
1810;72;1
1810;81;8
1812;84;3
1812;65;3
1812;68;1
1812;72;1
1812;81;4
1814;84;3
1814;65;6
1814;68;1
1814;72;1
1814;81;8
1816;84;3
1816;65;3
1816;68;1
1816;72;1
1816;78;1
1816;79;1
1816;81;12
34;47;0.000001
34;34;0.062973
28;47;0.000001
28;19;4
28;20;2
28;21;17
28;22;65
28;23;3
28;25;343
28;26;269
28;27;21
28;28;25
28;29;5
28;30;158
28;31;110
28;32;5
28;33;188
28;24;6.011267
28;34;0.981122
28;38;770.357544
28;42;7
28;43;16
2031;162;55
2031;129;69
2031;130;284
2031;131;15
2031;132;226
2031;133;20
2031;137;3
2031;141;147
2031;142;165
2031;143;5
2031;144;7
2031;146;3
2031;147;2
2031;148;2
2031;134;4
2031;135;13
2031;164;13
2031;165;13
2031;166;13
2031;136;3.178054
2031;149;65
2031;150;12
2031;151;16
2031;152;2
2031;154;8
2031;155;12
2031;163;20
2032;162;23
2032;129;27
2032;130;51
2032;131;13
2032;132;41
2032;133;15
2032;137;3
2032;141;11
2032;142;21
2032;144;5
2032;146;2
2032;147;1
2032;148;3
2032;134;2
2032;135;6
2032;164;6
2032;165;6
2032;166;6
2032;136;2.833213
2032;149;7
2032;150;5
2032;151;7
2032;152;3
2032;154;12
2032;155;16
2032;163;28
2033;162;7
2033;129;7
2033;130;4
2033;131;4
2033;132;1
2033;133;1
2033;137;3
2033;138;1
2033;139;1
2033;140;3
2033;142;1
2033;146;1
2033;134;1
2033;135;1
2033;164;1
2033;165;1
2033;166;1
2033;151;1
2033;155;12
2033;156;16
2033;163;12
2034;162;7
2034;129;7
2034;130;4
2034;131;4
2034;132;1
2034;133;1
2034;137;3
2034;138;1
2034;139;1
2034;140;3
2034;142;1
2034;146;1
2034;134;1
2034;135;1
2034;164;1
2034;165;1
2034;166;1
2034;151;1
2034;155;16
2034;156;16
2034;163;16
60;47;0.000001
60;34;0.062973
2035;7;80
2035;39;10
2035;12;1148
2035;40;2
2035;18;1
2035;13;23
2035;11;6
2035;15;1
2035;14;1
2035;44;1118816000
2037;84;1
2037;65;1
2037;68;1
2037;72;1
2037;81;4
2035;47;0.000001
2035;19;3
2035;20;4
2035;21;3
2035;22;4
2035;23;2
2035;25;66
2035;26;64
2035;27;7
2035;28;9
2035;29;2
2035;30;12
2035;31;51
2035;32;2
2035;33;23
2035;24;1.386294
2035;34;0.274058
2035;38;205.010529
2035;42;6
2035;43;11
2039;162;28
2039;129;37
2039;130;52
2039;131;24
2039;132;51
2039;133;12
2039;137;5
2039;138;3
2039;139;4
2039;140;8
2039;141;12
2039;142;21
2039;144;3
2039;146;2
2039;147;1
2039;148;2
2039;134;4
2039;135;5
2039;164;5
2039;165;5
2039;166;5
2039;136;1.386294
2039;149;4
2039;150;3
2039;151;7
2039;152;2
2039;154;60
2039;155;20
2039;156;32
2039;163;80
2040;162;8
2040;129;8
2040;130;6
2040;131;6
2040;132;3
2040;133;3
2040;137;4
2040;138;1
2040;139;1
2040;140;5
2040;142;1
2040;146;1
2040;134;1
2040;135;1
2040;164;1
2040;165;1
2040;166;1
2040;151;1
2040;155;16
2040;156;20
2040;163;16
2041;162;6
2041;129;6
2041;130;8
2041;131;5
2041;132;10
2041;133;3
2041;137;1
2041;142;1
2041;146;1
2041;134;1
2041;135;1
2041;164;1
2041;165;1
2041;166;1
2041;151;1
2041;155;4
2041;163;4
2042;7;425
2046;7;441
2042;39;55
2042;12;5119
2042;40;30
2042;18;3
2042;13;107
2042;11;57
2042;15;2
2042;14;12
2042;16;1
2042;44;3166571264
2046;39;1
2046;12;84
2046;40;2
2046;13;3
