28;1457;1197;15
1457;28;1198;15
28;1458;1197;3
1458;28;1198;3
28;1328;1197;1
1328;28;1198;1
28;46;1197;1
46;28;1198;1
28;1461;1197;2
1461;28;1198;2
28;1460;1197;2
1460;28;1198;2
28;1329;1197;3
1329;28;1198;3
28;1462;1197;2
1462;28;1198;2
28;1366;1197;1
1366;28;1198;1
28;1464;1197;5
1464;28;1198;5
28;1459;1197;2
1459;28;1198;2
28;49;1197;3
49;28;1198;3
28;1456;1197;2
1456;28;1198;2
28;1465;1197;1
1465;28;1198;1
28;1463;1197;2
1463;28;1198;2
28;1466;1197;1
1466;28;1198;1
34;41;1195;2
41;34;1196;2
34;44;1197;1
44;34;1198;1
34;1345;1197;1
1345;34;1198;1
34;1429;1197;1
1429;34;1198;1
34;10;1197;1
10;34;1198;1
34;51;1197;2
51;34;1198;2
34;13;1195;1
13;34;1196;1
34;46;1197;2
46;34;1198;2
34;10;1195;3
10;34;1196;3
34;42;1195;2
42;34;1196;2
34;36;1197;2
36;34;1198;2
34;43;1197;1
43;34;1198;1
34;1442;1195;1
1442;34;1196;1
34;1439;1195;1
1439;34;1196;1
34;1453;1197;1
1453;34;1198;1
34;45;1197;1
45;34;1198;1
34;34;1149;2
34;34;1150;2
37;48;1197;72
48;37;1198;72
37;43;1197;3
43;37;1198;3
37;47;1197;2
47;37;1198;2
37;49;1197;70
49;37;1198;70
37;46;1197;74
46;37;1198;74
37;1328;1197;5
1328;37;1198;5
37;1330;1197;4
1330;37;1198;4
37;51;1197;10
51;37;1198;10
37;50;1197;2
50;37;1198;2
37;1448;1197;1
1448;37;1198;1
37;38;1195;1
38;37;1196;1
37;1329;1197;1
1329;37;1198;1
37;13;1195;1
13;37;1196;1
37;1350;1197;1
1350;37;1198;1
37;3246;1195;1
3246;37;1196;1
37;36;1195;1
36;37;1196;1
37;2278;1197;1
2278;37;1198;1
37;42;1195;1
42;37;1196;1
37;2624;1195;1
2624;37;1196;1
37;2036;1195;1
2036;37;1196;1
37;35;1195;1
35;37;1196;1
37;39;1149;6
39;37;1150;6
37;37;1149;5
37;37;1150;5
39;42;1195;9
42;39;1196;9
39;13;1195;4
13;39;1196;4
39;51;1197;6
51;39;1198;6
39;1306;1197;1
1306;39;1198;1
39;2268;1195;1
2268;39;1196;1
39;1285;1197;1
1285;39;1198;1
39;1306;1195;1
1306;39;1196;1
39;41;1195;3
41;39;1196;3
39;39;1149;3
39;39;1150;3
52;15;1197;1
15;52;1198;1
52;1145;1197;1
1145;52;1198;1
57;708;1197;1
708;57;1198;1
57;1158;1197;1
1158;57;1198;1
57;1116;1197;4
1116;57;1198;4
57;1148;1197;12
1148;57;1198;12
57;1146;1197;1
1146;57;1198;1
57;59;1195;3
59;57;1196;3
57;58;1197;4
58;57;1198;4
57;1232;1197;1
1232;57;1198;1
57;1112;1197;1
1112;57;1198;1
57;1147;1195;1
1147;57;1196;1
57;21;1195;5
21;57;1196;5
57;1145;1197;3
1145;57;1198;3
57;1234;1197;1
1234;57;1198;1
57;13;1195;1
13;57;1196;1
57;1154;1195;1
1154;57;1196;1
57;58;1195;3
58;57;1196;3
57;1118;1195;1
1118;57;1196;1
57;1116;1195;1
1116;57;1196;1
57;1117;1195;1
1117;57;1196;1
57;1226;1197;1
1226;57;1198;1
57;1164;1195;1
1164;57;1196;1
57;1228;1197;1
1228;57;1198;1
57;1249;1197;1
1249;57;1198;1
57;1233;1197;1
1233;57;1198;1
57;19;1195;1
19;57;1196;1
57;18;1195;1
18;57;1196;1
57;1160;1197;1
1160;57;1198;1
57;90;1197;1
90;57;1198;1
57;1231;1197;1
1231;57;1198;1
57;57;1149;5
57;57;1150;5
60;66;1197;20
66;60;1198;20
60;708;1197;13
708;60;1198;13
60;482;1197;1
482;60;1198;1
60;68;1197;57
68;60;1198;57
60;713;1197;1
713;60;1198;1
60;761;1197;1
761;60;1198;1
60;758;1197;2
758;60;1198;2
60;64;1197;7
64;60;1198;7
60;705;1197;2
705;60;1198;2
60;280;1197;2
280;60;1198;2
60;764;1197;3
764;60;1198;3
60;704;1197;2
704;60;1198;2
60;281;1197;2
281;60;1198;2
60;649;1197;1
649;60;1198;1
60;729;1197;1
729;60;1198;1
60;720;1197;5
720;60;1198;5
60;87;1197;1
87;60;1198;1
60;719;1197;7
719;60;1198;7
60;63;1197;6
63;60;1198;6
60;481;1197;1
481;60;1198;1
60;754;1197;10
754;60;1198;10
60;273;1197;1
273;60;1198;1
60;424;1197;1
424;60;1198;1
60;768;1197;1
768;60;1198;1
60;10;1197;1
10;60;1198;1
60;573;1197;1
573;60;1198;1
60;767;1197;4
767;60;1198;4
60;728;1197;1
728;60;1198;1
60;287;1197;1
287;60;1198;1
60;88;1197;1
88;60;1198;1
60;662;1197;1
662;60;1198;1
60;711;1197;1
711;60;1198;1
60;14;1195;1
14;60;1196;1
60;23;1195;2
23;60;1196;2
60;479;1197;1
479;60;1198;1
60;72;1197;2
72;60;1198;2
60;663;1197;1
663;60;1198;1
60;810;1197;1
810;60;1198;1
60;710;1197;1
710;60;1198;1
60;727;1197;1
727;60;1198;1
60;274;1197;1
274;60;1198;1
60;706;1197;1
706;60;1198;1
60;703;1197;1
703;60;1198;1
60;272;1197;1
272;60;1198;1
60;722;1197;1
722;60;1198;1
1042;10;1197;1
10;1042;1198;1
1113;1112;1197;1
1112;1113;1198;1
1113;13;1195;1
13;1113;1196;1
1113;1116;1197;1
1116;1113;1198;1
1113;1115;1197;1
1115;1113;1198;1
1113;14;1195;2
14;1113;1196;2
1113;1119;1197;1
1119;1113;1198;1
1113;1122;1197;1
1122;1113;1198;1
1307;1116;1195;1
1116;1307;1196;1
1307;1174;1195;1
1174;1307;1196;1
1307;1173;1195;1
1173;1307;1196;1
1307;1175;1195;1
1175;1307;1196;1
1307;13;1195;1
13;1307;1196;1
1313;13;1195;1
13;1313;1196;1
1318;2625;1195;1
2625;1318;1196;1
1318;58;1197;3
58;1318;1198;3
1318;708;1197;2
708;1318;1198;2
1318;103;1197;1
103;1318;1198;1
1318;87;1197;1
87;1318;1198;1
1374;720;1197;47
720;1374;1198;47
1374;708;1197;157
708;1374;1198;157
1374;280;1197;10
280;1374;1198;10
1374;1228;1197;5
1228;1374;1198;5
1374;97;1197;28
97;1374;1198;28
1374;754;1197;72
754;1374;1198;72
